Offer                                        Publisher    Sku                           Urn                                                                                          Version
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-18_04-gen2                Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-18_04-gen2:18.04.202106090                18.04.202106090
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-18_04-gen2                Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-18_04-gen2:18.04.202106220                18.04.202106220
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-18_04-gen2                Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-18_04-gen2:18.04.202107160                18.04.202107160
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-18_04-gen2                Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-18_04-gen2:18.04.202107200                18.04.202107200
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04                     Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04:20.04.20201014                      20.04.20201014
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04                     Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04:20.04.202102230                     20.04.202102230
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04                     Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04:20.04.202103160                     20.04.202103160
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04                     Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04:20.04.202103250                     20.04.202103250
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04                     Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04:20.04.202104150                     20.04.202104150
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04                     Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04:20.04.202105180                     20.04.202105180
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04                     Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04:20.04.202106230                     20.04.202106230
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04                     Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04:20.04.202107200                     20.04.202107200
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04-gen2                Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04-gen2:20.04.202105180                20.04.202105180
0001-com-ubuntu-pro-advanced-sla-att         Canonical    pro-20_04-gen2                Canonical:0001-com-ubuntu-pro-advanced-sla-att:pro-20_04-gen2:20.04.202106230                20.04.202106230
